sessionIx,blockIx,trialIx,trialOns,waitForTrigger,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur
1,2,297,618,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,298,620,FALSE,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6
1,2,299,622,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,3,300,636,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,3,301,638,FALSE,0,0,0.2,,,,1,0.2,1.2,3,2,0.466,0.6
1,3,302,640,FALSE,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6
1,3,303,642,FALSE,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6
1,3,304,644,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,305,646,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,306,648,FALSE,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6
1,3,307,650,FALSE,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6
1,3,308,652,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,309,654,FALSE,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6
1,3,310,656,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,311,658,FALSE,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6
1,3,312,660,FALSE,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6
1,3,313,662,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,314,664,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,3,315,666,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,316,668,FALSE,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6
1,3,317,670,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,318,672,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,319,674,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,320,676,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,321,678,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,3,322,680,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,323,682,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,3,324,684,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,3,325,686,FALSE,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6
1,3,326,688,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
