sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,1,193,398,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,194,400,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,195,402,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6,0.6
1,1,196,404,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6,0.6
1,1,197,406,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,198,408,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,199,410,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,2,200,424,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,201,426,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6,0.6
1,2,202,428,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,203,430,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6,0.6
1,2,204,432,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,205,434,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6,0.6
1,2,206,436,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,207,438,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,2,208,440,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,209,442,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6,0.6
1,2,210,444,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,211,446,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,212,448,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,213,450,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6,0.6
1,2,214,452,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6,0.6
1,2,215,454,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,216,456,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6,0.6
1,2,217,458,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6,0.6
1,2,218,460,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,219,462,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,220,464,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,221,466,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,222,468,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6,0.6
1,2,223,470,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,2,224,472,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6,0.6
1,2,225,474,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,226,476,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,227,478,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6,0.6
1,2,228,480,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,229,482,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,230,484,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6,0.6
1,2,231,486,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,232,488,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,233,490,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,234,492,0,0,0.2,,,,0,0.2,1.2,3,3,0.566,0.6,0.6
1,2,235,494,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6,0.6
1,2,236,496,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,237,498,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,2,238,500,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,2,239,502,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,240,504,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,241,506,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6,0.6
1,2,242,508,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,243,510,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,244,512,0,0,0.2,,,,0,0.2,1.2,3,3,0.566,0.6,0.6
1,2,245,514,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,246,516,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,247,518,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,248,520,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,2,249,522,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6,0.6
1,2,250,524,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,251,526,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,252,528,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,253,530,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,254,532,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6,0.6
1,2,255,534,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,256,536,0,0,0.2,,,,1,0.2,1.2,3,2,0.466,0.6,0.6
1,2,257,538,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,2,258,540,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,259,542,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,2,260,544,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,261,546,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,262,548,0,0,0.2,,,,1,0.2,1.2,1,0,0.266,0.6,0.6
1,2,263,550,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,264,552,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,265,554,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6,0.6
1,2,266,556,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6,0.6
1,2,267,558,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,268,560,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,269,562,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,270,564,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,271,566,0,0,0.2,,,,1,0.2,1.2,1,0,0.266,0.6,0.6
1,2,272,568,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,273,570,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6,0.6
1,2,274,572,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,275,574,0,0,0.2,,,,1,0.2,1.2,1,3,0.566,0.6,0.6
1,2,276,576,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,277,578,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,278,580,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6,0.6
1,2,279,582,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,280,584,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6,0.6
